feature,importance
Glucose,0.26835461921609344
BMI,0.15806604566522492
DiabetesPedigreeFunction,0.12438551488753702
Age,0.12034531309533898
Insulin,0.09234042832770464
BloodPressure,0.08393774378761001
Pregnancies,0.07937006752380597
SkinThickness,0.07320026749668512
